Date,Time,Category,Item,Qty,Gross Sales,Discounts,Net Sales,Tax,Transaction ID,Notes,Customer ID
2024-12-21,10:56:23,Dough,Extruded HP,2,$16.00,$0.00,$16.00,$1.48,p7Fxe8LANExU0BS3r6pTrReCNj8YY,,
2024-12-21,10:47:56,Dough,Extruded HP,1,$8.00,$0.00,$8.00,$0.74,Ti8Q8rCDnkdP67LBxa4DBUUreTDZY,,8JBND9A3XH3C751EWKZ1TACY54
2024-12-21,10:47:56,Lasagna,Lasagna (Meat),1,$15.00,$0.00,$15.00,$1.39,Ti8Q8rCDnkdP67LBxa4DBUUreTDZY,,8JBND9A3XH3C751EWKZ1TACY54
2024-12-21,10:40:24,Sauce,Vodka Sauce (Small),1,$8.00,$0.00,$8.00,$0.74,7cJPCG8WxPKWxAhAC4aUA68DKmJZY,A pint of home made vodka sauce,M81X5PK9PS7TK7WAS9ZFSK89CW
2024-12-21,10:40:24,Lasagna,Lasagna (Meat),1,$15.00,$0.00,$15.00,$1.39,7cJPCG8WxPKWxAhAC4aUA68DKmJZY,,M81X5PK9PS7TK7WAS9ZFSK89CW
2024-12-21,10:37:25,None,Custom Amount,1,$15.00,$0.00,$15.00,$1.39,BlGavDxqRFD0dL2BOfKNBEiG3paZY,,QD31SKPDJ18YF7EB7SEC1YS5N8
2024-12-21,10:34:04,Dough,Extruded HP,1,$8.00,$0.00,$8.00,$0.74,R9G2aA9QVBD4Jq8kYPQiTp3GBBMZY,,5WMWXBY7YQNNZ7MMZ3HQDED14R
2024-12-21,10:34:04,None,Wagyu Meatballs,1,$10.00,$0.00,$10.00,$0.92,R9G2aA9QVBD4Jq8kYPQiTp3GBBMZY,,5WMWXBY7YQNNZ7MMZ3HQDED14R
2024-12-21,10:34:04,Sauce,Vodka Sauce (Small),1,$8.00,$0.00,$8.00,$0.74,R9G2aA9QVBD4Jq8kYPQiTp3GBBMZY,A pint of home made vodka sauce,5WMWXBY7YQNNZ7MMZ3HQDED14R
2024-12-21,10:20:05,None,Custom Amount,1,$32.00,$0.00,$32.00,$2.96,bqkDQf1yeTryFiBbSd6hOOhI3DVZY,,
2024-12-21,10:20:05,Dough,Extruded HP,5,$40.00,$0.00,$40.00,$3.70,bqkDQf1yeTryFiBbSd6hOOhI3DVZY,,
2024-12-21,10:20:05,None,Wagyu Meatballs,5,$50.00,$0.00,$50.00,$4.63,bqkDQf1yeTryFiBbSd6hOOhI3DVZY,,
2024-12-21,10:20:05,None,Custom Amount,1,$20.00,$0.00,$20.00,$1.85,bqkDQf1yeTryFiBbSd6hOOhI3DVZY,,
2024-12-21,10:05:43,Dough,Extruded HP,1,$8.00,$0.00,$8.00,$0.74,zm4ZOKE4CN4mvwYHpN0wLsI9NtMZY,,AXVRK95TP5P9CHQYW49E24Q2CC
2024-12-21,10:05:10,None,Custom Amount,1,$25.00,$0.00,$25.00,$2.31,RFsFnlyC5bhgqv8o7XYPtxu30ZRZY,,
2024-12-21,10:00:45,Dough,Extruded HP,1,$8.00,$0.00,$8.00,$0.74,VbapyUJJSLck9SOpHTTkB5YqT0RZY,,WBA9HAXWPFEJSYC1SQNPMW1DPG
2024-12-21,10:00:07,Ravioli,Butternut Squash Ravioli,1,$20.00,$0.00,$20.00,$1.85,5d0yqcUhxSCEGmqtOEMY06LfiELZY,,
2024-12-21,10:00:07,Sauce,Vodka Sauce (Small),1,$8.00,$0.00,$8.00,$0.74,5d0yqcUhxSCEGmqtOEMY06LfiELZY,A pint of home made vodka sauce,
2024-12-21,9:55:11,Ravioli,Wagyu Ravioli,2,$40.00,$0.00,$40.00,$3.70,TM5mrSm9szxWzncORJpXexT6ZO7YY,,
2024-12-21,9:47:16,Dough,Extruded HP,1,$8.00,$0.00,$8.00,$0.74,LuYQz9qO5zODm7ZU2s2uUhGu9RUZY,,ZWCC6YSWWS75FCMKBY3HX21GKW
2024-12-21,9:42:20,Ravioli,Butternut Squash Ravioli,1,$20.00,$0.00,$20.00,$1.85,hREUzIfJIYiTFOiW8pBCxsgrf8bZY,,MRN2WVKNHN65V3ZKE3RT6GF4A0
2024-12-21,9:27:23,Lasagna,Lasagna (Meat),1,$15.00,-$3.00,$12.00,$1.11,72Od2XU6dJhxke7msQ0cx19UAzMZY,,CED3QWCKTS5JNEHB69YZ4FJWN0
2024-12-21,9:27:23,None,Custom Amount,1,$5.00,-$1.00,$4.00,$0.37,72Od2XU6dJhxke7msQ0cx19UAzMZY,,CED3QWCKTS5JNEHB69YZ4FJWN0
2024-12-21,9:25:13,Dough,Extruded HP,2,$16.00,-$3.20,$12.80,$1.18,x5uXwVBvFDmVw0Y9PseugbhqcpfZY,,
2024-12-21,9:20:34,None,Wagyu Meatballs,1,$10.00,$0.00,$10.00,$0.93,9fk6ADWrvBWOQuunFuhbvCzBZvRZY,,
2024-12-21,9:20:34,Lasagna,Lasagna (Meat),1,$15.00,$0.00,$15.00,$1.39,9fk6ADWrvBWOQuunFuhbvCzBZvRZY,,
2024-12-21,9:20:34,None,Custom Amount,1,$13.00,$0.00,$13.00,$1.20,9fk6ADWrvBWOQuunFuhbvCzBZvRZY,,
2024-12-21,9:19:25,Dough,Extruded HP,1,$8.00,$0.00,$8.00,$0.74,L2oAzhp4qE0QV1VJHgrhFdJmZRTZY,,DDHTV11D9Y7JJX1VX90Z8QVYVC
2024-12-21,9:10:00,None,Custom Amount,1,$15.00,$0.00,$15.00,$1.39,LIbDnl4a8XOABNUn6MzinHn1vjGZY,,DXH9G42Q190DB8ZN3AASZ3NR7M
2024-12-21,9:07:06,Lasagna,Lasagna (Meat),2,$30.00,$0.00,$30.00,$2.78,rEFP2QkcQMB8y3HFQYSVedav97MZY,,CHE4KBPNH11VQ5D81TD52X8ETC
2024-12-21,9:05:41,Dough,Extruded HP,1,$8.00,$0.00,$8.00,$0.74,TSaZqFoiJKOy482o6yxfbcHLkpVZY,,
2024-12-17,18:01:39,Ravioli,Butternut Squash Ravioli,1,$20.00,$0.00,$20.00,$1.85,Nns4htDXf08Tib6h5hffBjWk9sAZY,,
2024-12-17,18:01:39,Ravioli,Wagyu Ravioli,1,$20.00,$0.00,$20.00,$1.85,Nns4htDXf08Tib6h5hffBjWk9sAZY,,
2024-12-17,17:33:13,Ravioli,Butternut Squash Ravioli,1,$20.00,$0.00,$20.00,$1.85,5ZYZCFHSSdnRSa7Nlk7A49Z5hhBZY,,GX8HBETZ4W78511R3PZQXQZQH8
2024-12-17,17:33:13,None,Custom Amount,1,$15.00,$0.00,$15.00,$1.39,5ZYZCFHSSdnRSa7Nlk7A49Z5hhBZY,,GX8HBETZ4W78511R3PZQXQZQH8
2024-12-17,17:31:16,None,Wagyu Meatballs,1,$10.00,$0.00,$10.00,$0.92,LishaQmcJ5wEE5vOakmjlvg2YnEZY,,AN71RZS5KSJMDQZ9XZV4DS507R
2024-12-17,17:11:42,Dough,Extruded HP,3,$24.00,$0.00,$24.00,$2.22,fkIz2PtA0ic8Dcbsiwoqd8Lll5cZY,,
2024-12-17,16:58:29,Dough,Extruded HP,1,$8.00,$0.00,$8.00,$0.74,zaAafmXDinqqeVLLs9haTjaPBHAZY,,
2024-12-17,16:52:51,None,Wagyu Meatballs,1,$10.00,$0.00,$10.00,$0.93,r6aQ0mcLT7acdnUAh2W53Ckt1uFZY,,
2024-12-17,16:52:51,None,Custom Amount,1,$33.00,$0.00,$33.00,$3.05,r6aQ0mcLT7acdnUAh2W53Ckt1uFZY,,
2024-12-17,16:41:01,None,Custom Amount,1,$18.00,$0.00,$18.00,$1.66,9fYoGVSwuLRw2vght1lWpN6Rot7YY,,XT2JKRC02RNWE5ZQG14G205RTG
2024-12-17,16:37:39,None,Custom Amount,1,$15.00,$0.00,$15.00,$1.39,VNtm8ZHWWWd6qtH33ovoXOOUaOaZY,,PJWFQ4EHKBPKPY2PSPZHQK3CVW
2024-12-17,16:09:41,None,Wagyu Meatballs,1,$10.00,$0.00,$10.00,$0.92,VRXIVYqaoI4cM0MbCADAEnAQrjAZY,,
2024-12-17,16:03:48,Dough,Extruded HP,1,$8.00,$0.00,$8.00,$0.74,7YXRHYJVwDWs3TL2ooyxiECZP7NZY,,8X83JJHAW4AXMRACPHGWD9DD48
2024-12-17,15:58:25,None,Wagyu Meatballs,1,$10.00,$0.00,$10.00,$0.92,RFQXztfUs023rsQr6bFIANwUWXPZY,,W5F62XE67VCZM03FVQ2CNPM2C0
2024-12-17,15:38:44,None,Custom Amount,1,$15.00,$0.00,$15.00,$1.39,3UguuFx7WC9T0f2411JkuYIkPYRZY,,CKGC43WBTX73PYHWNFX9M08NN8
2024-12-14,11:42:42,None,Custom Amount,1,$10.00,$0.00,$10.00,$0.92,J1m1zNtRu7DBFQRhuwqp7B490jGZY,,
2024-12-14,11:39:55,None,Custom Amount,1,$18.00,$0.00,$18.00,$1.66,Rzz5bcGG94zeFpEg3dokWM1SGcNZY,,H816XA53KDAQC267PF94GQEGP8
2024-12-14,11:35:27,Dough,Extruded HP,1,$8.00,-$1.60,$6.40,$0.59,3u1KcEcE2SBC4I0AkYdoy9JiYFHZY,,
2024-12-14,11:28:43,None,Wagyu Meatballs,1,$10.00,$0.00,$10.00,$0.92,R9mcnLSO4HG0qEok6MqBEq9jDR8YY,,9JAVMZDEAN1QN7RWXG3EJHKWZ8
2024-12-14,11:16:53,None,Custom Amount,1,$15.00,$0.00,$15.00,$1.39,vGX4Mz4DH5gTzfMmbCwx450DpaSZY,,
2024-12-14,11:16:53,Sauce,Vodka Sauce (Small),1,$8.00,$0.00,$8.00,$0.74,vGX4Mz4DH5gTzfMmbCwx450DpaSZY,A pint of home made vodka sauce,
2024-12-14,11:16:53,Ravioli,Butternut Squash Ravioli,1,$20.00,$0.00,$20.00,$1.85,vGX4Mz4DH5gTzfMmbCwx450DpaSZY,,
2024-12-14,11:12:09,Ravioli,Wagyu Ravioli,1,$20.00,$0.00,$20.00,$1.85,L6cLWe1CkCN9EA69DA5DP60OiBSZY,,
2024-12-14,11:12:09,Sauce,Vodka Sauce (Small),1,$8.00,$0.00,$8.00,$0.74,L6cLWe1CkCN9EA69DA5DP60OiBSZY,A pint of home made vodka sauce,
2024-12-14,11:09:26,Sauce,Bolognese,1,$10.00,$0.00,$10.00,$0.92,Xwu66RgCs5GhMnsLtWPd3rMFaQAZY,,
2024-12-14,11:06:59,Ravioli,Butternut Squash Ravioli,1,$20.00,$0.00,$20.00,$1.85,dRzVqzIfueN0VlZV1cMwTuqH10HZY,,
2024-12-14,11:06:59,None,Wagyu Meatballs,1,$10.00,$0.00,$10.00,$0.93,dRzVqzIfueN0VlZV1cMwTuqH10HZY,,
2024-12-14,10:59:27,None,Wagyu Meatballs,1,$10.00,$0.00,$10.00,$0.92,Bh4qJUMJHeNAalkx5EW3adlP2jXZY,,WTDMPFHDXMWZVCP6JM22ETRK6M
2024-12-14,10:56:53,None,Custom Amount,1,$8.00,$0.00,$8.00,$0.74,RpCdI4ScDUeEu5CFa4ee5F3c6cCZY,,Y6KCH5PP91T223M8JATQ4WDMDW
2024-12-14,10:53:40,Dough,Extruded HP,1,$8.00,$0.00,$8.00,$0.74,nqrcQIMExCOTbmpqAW8X3suHa1OZY,,
2024-12-14,10:53:40,None,Custom Amount,1,$4.00,$0.00,$4.00,$0.37,nqrcQIMExCOTbmpqAW8X3suHa1OZY,,
2024-12-14,10:51:55,Ravioli,Wagyu Ravioli,1,$20.00,$0.00,$20.00,$1.85,bOcqQgKmc8pDu9qlXrhhOT5G9pHZY,,
2024-12-14,10:51:55,Dough,Extruded HP,1,$8.00,$0.00,$8.00,$0.74,bOcqQgKmc8pDu9qlXrhhOT5G9pHZY,,
2024-12-14,10:47:00,Sauce,Bolognese,1,$10.00,$0.00,$10.00,$0.92,FvGyNpAP1DQjyE1VhciLI6XherTZY,,PY7RPFN0HDSP65BK4J2FE3AZZ8
2024-12-14,10:40:01,Ravioli,Butternut Squash Ravioli,1,$20.00,$0.00,$20.00,$1.85,lfyk3PvP4X9pT49Mqirc1TI5zRSZY,,Z0JANQAVMC7GK73PMVC2Y2F03C
2024-12-14,10:38:42,Ravioli,Butternut Squash Ravioli,2,$40.00,$0.00,$40.00,$3.70,DEbrQuvkgbdeeQYBfcvQmvsQgSIZY,,8Y6DN4Q2G4WSS33816W1DKTM2C
2024-12-14,10:38:42,None,Wagyu Meatballs,1,$10.00,$0.00,$10.00,$0.92,DEbrQuvkgbdeeQYBfcvQmvsQgSIZY,,8Y6DN4Q2G4WSS33816W1DKTM2C
2024-12-14,10:34:05,Dough,Extruded HP,1,$8.00,$0.00,$8.00,$0.74,tZXJ791vJ84vvKbswevBwZ1ON6TZY,,M52MYFR0VX2WD9TGW4HZR82R9W
2024-12-14,10:30:35,Ravioli,Wagyu Ravioli,1,$20.00,$0.00,$20.00,$1.85,Bn1V25xuAqR7IkRPLcKlKxERRTUZY,,
2024-12-14,10:30:35,Ravioli,Butternut Squash Ravioli,1,$20.00,$0.00,$20.00,$1.85,Bn1V25xuAqR7IkRPLcKlKxERRTUZY,,
2024-12-14,10:28:57,Sauce,Vodka Sauce (Small),1,$8.00,$0.00,$8.00,$0.74,RTZoIIh9fVgEzCDD16UFNJLWSZdZY,A pint of home made vodka sauce,
2024-12-14,10:28:11,Dough,Extruded HP,4,$32.00,$0.00,$32.00,$2.96,nePv3wIPHbdTt7dIztUJkuqJtSeZY,,
2024-12-14,10:26:07,Sauce,Vodka Sauce (Small),1,$8.00,$0.00,$8.00,$0.74,dPaB4mL57IhL8EnQwDwHsUHA3l8YY,A pint of home made vodka sauce,
2024-12-14,10:25:36,Dough,Extruded HP,1,$8.00,$0.00,$8.00,$0.74,3UsGrlAZKLp6OO6E6FLItWo12YbZY,,60RY054FPWEWRHF5YMATPJ680R
2024-12-14,10:20:30,Dough,Extruded HP,1,$8.00,$0.00,$8.00,$0.74,NBBiaOoOk37QcOqZop3YZXEE6hZZY,,SYM0K090G6KYTS54M0TYTK7HE0
2024-12-14,10:09:22,Dough,Extruded HP,1,$8.00,$0.00,$8.00,$0.74,3kS7vykCE9BrzrmwpuSFclY5MJCZY,,BH34MKW7VD22K00Q3DSWQPN3KW
2024-12-14,10:07:38,Sauce,Bolognese,1,$10.00,$0.00,$10.00,$0.92,js9epaEakFNfkVLqjJ5iUxdGYnaZY,,
2024-12-14,10:03:33,Ravioli,Butternut Squash Ravioli,1,$20.00,$0.00,$20.00,$1.85,VLCrML3jbdQNduwbTLLMydOs1sUZY,,
2024-12-14,10:02:31,Dough,Extruded HP,2,$16.00,-$2.00,$14.00,$1.30,n63aymq85an52YLtjEwPXetFHlEZY,,J00B9QA4DS14VFZK0GHH1J7WWM
2024-12-14,9:37:12,None,Custom Amount,1,$6.00,$0.00,$6.00,$0.56,TucX9vhqs8XjjxtdhgrfTW1DRkBZY,,DBPJ4MQDYTKBQVVZF6D28F8VN8
2024-12-14,9:31:20,Dough,Extruded HP,1,$8.00,$0.00,$8.00,$0.74,fECKnfFTUrZFaRpthaxTSCa3xzGZY,,4727JGMGKVG3T1TTKDGBTD6DHM
2024-12-14,9:19:23,Dough,Extruded HP,2,$16.00,$0.00,$16.00,$1.48,P04pu6VAhUwG0xHxmwZ1wt8JsPLZY,,EH8GM2GFT9C7TB6ZTS4XH8FVX8
2024-12-14,9:18:33,None,Custom Amount,1,$7.50,$0.00,$7.50,$0.69,TojWhHFSFXhoGMzUwoitRuD1F3LZY,,15STX4S3C92WS8G6CRP0PQKADG
2024-12-14,9:11:28,None,Wagyu Meatballs,2,$20.00,$0.00,$20.00,$1.85,z0xG0GNwzz2NZN6iZcET7WIppt7YY,,RZCWJ6NXF55TF0SC10NPB2M3GM
2024-12-14,9:11:28,Dough,Extruded HP,3,$24.00,$0.00,$24.00,$2.22,z0xG0GNwzz2NZN6iZcET7WIppt7YY,,RZCWJ6NXF55TF0SC10NPB2M3GM
2024-12-14,9:11:28,Sauce,Vodka Sauce Add On (Large),1,$15.00,$0.00,$15.00,$1.39,z0xG0GNwzz2NZN6iZcET7WIppt7YY,A full quart of of our home made vodka sauce.,RZCWJ6NXF55TF0SC10NPB2M3GM
2024-12-14,9:07:59,Dough,Extruded HP,1,$8.00,$0.00,$8.00,$0.74,jW8JmzWfwB6b14V0RS1D8CwK1caZY,,8P3V3DZYDBZRXM2K72WBBPXDP4
2024-12-14,9:07:46,None,Wagyu Meatballs,1,$10.00,$0.00,$10.00,$0.92,bGI8uFA47IIWaOYk03wAiAReI7RZY,,
2024-12-14,9:07:46,Dough,Extruded HP,1,$8.00,$0.00,$8.00,$0.74,bGI8uFA47IIWaOYk03wAiAReI7RZY,,
2024-12-14,9:07:46,Sauce,Vodka Sauce (Small),1,$8.00,$0.00,$8.00,$0.74,bGI8uFA47IIWaOYk03wAiAReI7RZY,A pint of home made vodka sauce,
2024-12-14,9:04:31,Lasagna,Lasagna (Meat),2,$30.00,$0.00,$30.00,$2.78,B1QXlB0n44anNLVdrinaRdTQQZOZY,,A6FXQ4ZX9T9FEB2QFBE7S4YJWW
2024-12-10,17:53:19,Sauce,Vodka Sauce (Small),1,$8.00,$0.00,$8.00,$0.74,txfZDzOaFgMoVPKAcgdY3Bewz1YZY,A pint of home made vodka sauce,
2024-12-10,17:53:19,Dough,Extruded HP,1,$8.00,$0.00,$8.00,$0.74,txfZDzOaFgMoVPKAcgdY3Bewz1YZY,,
2024-12-10,17:29:01,Sauce,Vodka Sauce (Small),1,$8.00,$0.00,$8.00,$0.74,DkvzcksgfsC5LPTSLzX1RAmdWuFZY,A pint of home made vodka sauce,
2024-12-10,17:24:25,Ravioli,Butternut Squash Ravioli,1,$20.00,$0.00,$20.00,$1.85,vwAKkdCpvJJrjDMzftTYpcelQrWZY,,
2024-12-10,16:50:45,Ravioli,Wagyu Ravioli,1,$20.00,$0.00,$20.00,$1.85,v0GyR09GTKw5BeLpnWgDaO2NAFgZY,,DJPEJ68ZF7ZWY106K53PB2CBS0
2024-12-10,16:50:45,Ravioli,Butternut Squash Ravioli,1,$20.00,$0.00,$20.00,$1.85,v0GyR09GTKw5BeLpnWgDaO2NAFgZY,,DJPEJ68ZF7ZWY106K53PB2CBS0
2024-12-10,16:50:45,None,Wagyu Meatballs,1,$10.00,$0.00,$10.00,$0.92,v0GyR09GTKw5BeLpnWgDaO2NAFgZY,,DJPEJ68ZF7ZWY106K53PB2CBS0
2024-12-10,16:31:15,None,Custom Amount,1,$6.00,$0.00,$6.00,$0.56,V3gFkfm7YBWsdH7NDJV8h9CPz85YY,,
2024-12-10,16:29:10,Lasagna,Lasagna (Meat),1,$15.00,$0.00,$15.00,$1.39,ZJQTWGAzJ9Qp7ISj25XAyDckzAYZY,,
2024-12-10,16:24:46,Ravioli,Butternut Squash Ravioli,1,$20.00,$0.00,$20.00,$1.85,zQPOqt9c4yZZE0uxUXwa96bcmIMZY,,2VAGK48SCVH4G51G8NQC2HFVDC
2024-12-10,16:19:37,Sauce,Vodka Sauce (Small),1,$8.00,$0.00,$8.00,$0.74,55g3H1s9hKAOFvL3SNsUpgpo3HSZY,A pint of home made vodka sauce,
2024-12-10,16:19:37,Ravioli,Wagyu Ravioli,1,$20.00,$0.00,$20.00,$1.85,55g3H1s9hKAOFvL3SNsUpgpo3HSZY,,
2024-12-10,16:16:55,Ravioli,Butternut Squash Ravioli,1,$20.00,$0.00,$20.00,$1.85,DeiCyeCLbmVIQp5f5SsiOXQAiqVZY,,
2024-12-10,16:16:34,Dough,Extruded HP,1,$8.00,$0.00,$8.00,$0.74,9tHMQYlSbu7WUN0AX2yCx5QXJsZZY,,
2024-12-10,16:04:26,Dough,Extruded HP,1,$8.00,$0.00,$8.00,$0.74,9F308LWNeOFpBugYCBZSxO1ojoUZY,,
2024-12-10,16:03:34,None,Custom Amount,1,$15.00,$0.00,$15.00,$1.39,1ZDYxoAHmpW39jNj4802ZtjjWRTZY,,
2024-12-10,16:03:34,Dough,Extruded HP,1,$8.00,$0.00,$8.00,$0.74,1ZDYxoAHmpW39jNj4802ZtjjWRTZY,,
2024-12-10,16:03:34,None,Wagyu Meatballs,1,$10.00,$0.00,$10.00,$0.92,1ZDYxoAHmpW39jNj4802ZtjjWRTZY,,
2024-12-10,16:03:34,Lasagna,Lasagna (Meat),1,$15.00,$0.00,$15.00,$1.39,1ZDYxoAHmpW39jNj4802ZtjjWRTZY,,
2024-12-10,15:58:24,Ravioli,Butternut Squash Ravioli,1,$20.00,$0.00,$20.00,$1.85,VXuMyYSBTFQNIjOk3DXWNmhXdf7YY,,
2024-12-10,15:57:39,None,Custom Amount,1,$20.00,$0.00,$20.00,$1.85,1POkzaxYsk1VnCREoZ1UFhuTgj7YY,,
2024-12-10,15:57:39,Sauce,Vodka Sauce (Small),1,$8.00,$0.00,$8.00,$0.74,1POkzaxYsk1VnCREoZ1UFhuTgj7YY,A pint of home made vodka sauce,
2024-12-10,15:44:25,None,Custom Amount,1,$12.00,$0.00,$12.00,$1.11,rAn3PRr3AXWqrhplgSnvJUfLnuWZY,,CTXJ7XD3H2C0G76PKDRBTBABJM
2024-12-07,11:46:11,None,Custom Amount,1,$5.00,$0.00,$5.00,$0.46,JHLXyYTYhgVJDTbf5bUZVACBBFEZY,,Q1AN2C50SKDY1GRD5WGPH722JM
2024-12-07,11:39:21,None,Custom Amount,1,$17.00,$0.00,$17.00,$1.57,NhzPGVsCh3sYlbm0w0Pw6umwzieZY,,G2NKKQE7FCPSZ42P2X8T5J39WC
2024-12-07,11:36:31,Dough,Extruded HP,1,$8.00,$0.00,$8.00,$0.74,T8RIGzik3UudWKnPiFZQeh02rLPZY,,G9JBRA1QKHTMHBBYWE6TKBE7S8
2024-12-07,11:23:36,Ravioli,Butternut Squash Ravioli,1,$20.00,$0.00,$20.00,$1.85,36VhvnA3dlDasVjsJSS3xPfdsGXZY,,WT6T8KMVRED40KWE00B46K8EJ8
2024-12-07,11:23:36,Dough,Extruded HP,1,$8.00,$0.00,$8.00,$0.74,36VhvnA3dlDasVjsJSS3xPfdsGXZY,,WT6T8KMVRED40KWE00B46K8EJ8
2024-12-07,11:23:36,None,Custom Amount,1,$12.00,$0.00,$12.00,$1.11,36VhvnA3dlDasVjsJSS3xPfdsGXZY,,WT6T8KMVRED40KWE00B46K8EJ8
2024-12-07,11:18:55,Dough,Extruded HP,2,$16.00,$0.00,$16.00,$1.48,9F30GIyThksUWUuta3A4yBPXavRZY,,
2024-12-07,11:18:55,None,Custom Amount,1,$4.00,$0.00,$4.00,$0.37,9F30GIyThksUWUuta3A4yBPXavRZY,,
2024-12-07,11:07:19,None,Wagyu Meatballs,1,$10.00,$0.00,$10.00,$0.93,Jz9NF3FPFv3a76U1yb2IsxcPSKZZY,,RGFYWF6CNN86RT2ZCFMCE9B18G
2024-12-07,11:07:19,Ravioli,Butternut Squash Ravioli,1,$20.00,$0.00,$20.00,$1.85,Jz9NF3FPFv3a76U1yb2IsxcPSKZZY,,RGFYWF6CNN86RT2ZCFMCE9B18G
2024-12-07,11:04:35,Ravioli,Butternut Squash Ravioli,2,$40.00,-$11.00,$29.00,$2.68,HUQkTFUjXnGeMpOkNLfyecLpXCbZY,,
2024-12-07,11:04:35,None,Custom Amount,1,$12.00,-$3.30,$8.70,$0.81,HUQkTFUjXnGeMpOkNLfyecLpXCbZY,,
2024-12-07,10:58:39,Lasagna,Lasagna (Meat),2,$30.00,$0.00,$30.00,$2.78,59GVlpqMO5MkQX7cO5xQrJjamyOZY,,
2024-12-07,10:55:39,Ravioli,Wagyu Ravioli,1,$20.00,$0.00,$20.00,$1.85,HAC0mItmH6DWAmuxMyukLON2iI7YY,,D6QAZ4VTSMNA10PP7CZ5C2KNB8
2024-12-07,10:55:39,Ravioli,Butternut Squash Ravioli,1,$20.00,$0.00,$20.00,$1.85,HAC0mItmH6DWAmuxMyukLON2iI7YY,,D6QAZ4VTSMNA10PP7CZ5C2KNB8
2024-12-07,10:55:39,None,Custom Amount,1,$6.00,$0.00,$6.00,$0.56,HAC0mItmH6DWAmuxMyukLON2iI7YY,,D6QAZ4VTSMNA10PP7CZ5C2KNB8
2024-12-07,10:52:25,None,Custom Amount,1,$15.00,$0.00,$15.00,$1.39,RHDSZATvsH6SgYK155V1XCYtudRZY,,M81X5PK9PS7TK7WAS9ZFSK89CW
2024-12-07,10:52:25,Lasagna,Lasagna (Meat),1,$15.00,$0.00,$15.00,$1.39,RHDSZATvsH6SgYK155V1XCYtudRZY,,M81X5PK9PS7TK7WAS9ZFSK89CW
2024-12-07,10:48:14,Sauce,Vodka Sauce (Small),1,$8.00,$0.00,$8.00,$0.74,NRjD0kPK54aLDeCQdoXSTuVmssWZY,A pint of home made vodka sauce,1RFF2PWXTV12V0NRY4F20956ER
2024-12-07,10:47:29,Lasagna,Lasagna (Meat),2,$30.00,$0.00,$30.00,$2.77,DWEFcHaVGJRMidgbt4kNI0Yb7HEZY,,
2024-12-07,10:47:29,None,1 Ginger Shot (L),1,$7.00,$0.00,$7.00,$0.65,DWEFcHaVGJRMidgbt4kNI0Yb7HEZY,"Ginger, lemon, honey Pineapple 4oz",
